SCREEN_CD	DICT_NM	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE	ROLE_CD	DICT_NM	VISIBLE
DeliveryCourseMasterEdit	配送コースマスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ProductMasterList	商品マスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ProductMasterListNum	出力枚数指定	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ProductMasterEdit	商品マスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ProductMasterBulkInput	商品マスタ一括取込	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ProductShapeMasterBulkInput	商品荷姿マスタ一括取込	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
SetStructureSearch	セット品構成マスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
SetStructureEdit	セット品構成マスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
BoxMaster	荷材マスタメンテナンス	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
BoxGroupMasterList	荷材グループマスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
BoxGroupMasterEdit	荷材グループマスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
StockTypeMaster	在庫区分マスタメンテナンス	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ShapeMaster	荷姿マスタメンテナンス	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ShapeGroupMasterList	荷姿グループマスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ShapeGroupMasterEdit	荷姿グループマスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ZipMaster	郵便番号マスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ZipMasterEdit	郵便番号マスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
NumberingCenterMaster	センタ採番マスタメンテナンス	NoSystemMaintenance	システム管理不可	0	NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限	0	NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
UserMasterList	ユーザマスタメンテナンス(一覧)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限	0	NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
UserEdit	ユーザマスタメンテナンス(編集)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限	0	NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
FormatReceivePlanBulkInput	入荷予定一括取込用Excelダウンロード	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
FormatShippingPlanBulkInput	出荷指示一括取込用Excelダウンロード	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
FormatZoneMasterBulkInput	ゾーンマスタ一括取込用Excelダウンロード	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
FormatLocationMasterBulkInput	ロケーションマスタ一括取込用Excelダウンロード	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
FormatCustomerMasterBulkInput	取引先マスタ一括取込用Excelダウンロード	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
FormatProductMasterBulkInput	商品マスタ一括取込用Excelダウンロード	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
FormatMProductShapeBulkInput	商品荷姿マスタ一括取込用Excelダウンロード	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
FormatBarcodeLabelBulkPrint	バーコードラベル一括出力用Excelダウンロード	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
FormatSerialNoBulkInput	シリアルNo.一括取込用Excelダウンロード	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可	0	NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ManualCommon	操作マニュアル(共通操作編)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ManualPc	操作マニュアル(PC編)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ManualHt	操作マニュアル(HT編)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ManualSd	操作マニュアル(SD編)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ManualHelp	操作マニュアル(ヘルプ編)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ManualLabel	操作マニュアル(荷札用紙設定編)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ManualEc	操作マニュアル(EC受注編)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
Daily	日次締処理	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可	0	ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
EcOrderBulkInput	EC受注データ一括取込	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
EcOrderList	EC受注データ一覧	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
EcShippingTagDataOutput	EC送り状データ出力	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
EcDelivAddressModify	住所変更	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ReceiveStatusProgress	入荷ステータス別進捗	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
SlipNoReceiveList	伝票別入荷一覧	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ProductReceiveList	商品別入荷一覧	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ReceivePartList	入荷未完了一覧	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ReceivePlanInput	入荷予定入力	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ReceivePlanBulkInput	入荷予定一括取込	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ReceivePlanListPrint	入荷予定リスト発行	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
StoreLabelPrint	入庫ラベル発行	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ClassLabelPrint	汎用ラベル発行	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ReceiveInput	入荷実績入力(予定あり)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ReceiveInputNo	入荷実績入力(予定なし)	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ReceiveHistory	入荷履歴	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ShippingStatusProgress	出荷ステータス別進捗	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可	0	NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
DeliveryCourseShippingList	配送コース別出荷一覧	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可	0	NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ShippingInstList	出庫指示一覧	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可	0	NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ShippingInstDetail	出荷指示明細	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ShippingWorkRefUpdate	出庫作業メッセージ登録	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ProductShippingList	商品別出荷一覧	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可	1	Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可	0	NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
ShippingPlanInput	出荷指示入力	NoSystemMaintenance	システム管理不可		NoWmsMasterMaintenance	WMSマスタ管理不可		NoDaily	日次締処理不可		ViewOnly	閲覧許可		Workers	管理作業者権限		NoClientCenterEdit	荷主センタ編集不可		NoCommonSetting	共通設定不可		NoViewShipping	出荷閲覧不可		NoTotalStockList	トータル在庫問合せ不可		DepositViewOnly	預託閲覧許可		NoViewDeposit	預託閲覧不可	
