ITEM_ID	SCREEN_ID	ITEM_CD	DICT_ID	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED
1933	279	centerClassGrpUpdate	1130		1	1		0	1
1934	279	centerClassGrpDtlUpdate	1131		1	1		0	1
1935	279	centerClassList	2237	grid	1	1		0	1
1936	280	centerClientCls	1097		1	1		1	1
1937	280	centerOrClient	1098		1	1		1	1
1938	280	screen	1085		1	1		1	1
1939	280	grid	1953		1	1		1	1
1940	280	search	745		1	1		0	1
1941	280	centerClientScreenColList	2178	grid	1	1		0	1
1942	280	register	723		1	1		0	1
1943	280	excelOutput	732		1	1		0	1
1944	281	centerClientCls	1097		1	1		1	1
1945	281	centerOrClient	1098		1	1		1	1
1946	281	screen	1085		1	1		1	1
1947	281	search	745		1	1		0	1
1948	281	centerClientScreenItemList	2180	grid	1	1		0	1
1949	281	register	723		1	1		0	1
1950	281	excelOutput	732		1	1		0	1
1951	282	centerClientCls	1097		1	1		1	1
1952	282	centerOrClient	1098		1	1		1	1
1953	282	search	745		1	1		0	1
1954	282	centerClientScreenList	2179	grid	1	1		0	1
1955	282	register	723		1	1		0	1
1956	282	excelOutput	732		1	1		0	1
1957	283	centerMasterEdit	2181	grid	1	1		0	1
1958	283	centerCd	202		1	1		1	1
1959	283	delFlg	819		1	1		1	1
1960	283	addRow	721		1	1		0	1
1961	283	removeRow	722		1	1		0	1
1962	283	register	723		1	1		0	1
1963	283	centerNm	208		1	1		1	1
1964	283	centerAbbr	209		1	1		1	1
1965	283	cultureList	1033		1	1		0	1
1966	283	timeZoneList	1035		1	1		0	1
1967	283	new	704		1	1		0	1
1968	283	update	705		1	1		0	1
1969	284	centerCd	202		1	1		0	1
1970	284	centerNm	208		1	1		0	1
1971	284	search	745		1	1		0	1
1972	284	centerMasterList	2182	grid	1	1		0	1
1973	284	register	704		1	1		0	1
1974	284	update	705		1	1		0	1
1975	284	excelOutput	732		1	1		0	1
1976	284	delFlg	819		1	1		0	1
1977	285	copyFrom	2641		1	1		0	1
1978	285	centerCdFrom	2637	dropdown	1	1		1	1
1979	285	clientCdFrom	2639	dropdown	1	1		1	1
1980	285	copyTo	2642		1	1		0	1
1981	285	centerCdTo	2638	dropdown	1	1		1	1
1982	285	clientCdTo	2640	dropdown	1	1		1	1
1983	285	copyMasterList	2643	grid	1	1		0	1
1984	285	register	723		1	1		0	1
1985	286	centerCd	736		1	1		1	1
1986	286	clientCd	748		1	1		1	1
1987	286	warehouseCd	737		1	1		0	1
1988	286	register	741		1	1		0	1
1989	286	num	978		1	1	right	1	1
1990	287	clientCd	299		1	1		0	1
1991	287	clientNm	305		1	1		0	1
1992	287	delFlg	819		1	1		0	1
1993	287	search	745		1	1		0	1
1994	287	excelOutput	732		1	1		0	1
1995	287	clientList	2191	grid	1	1		0	1
1996	287	addRow	721		1	1		0	1
1997	287	removeRow	722		1	1		0	1
1998	287	register	723		1	1		0	1
1999	288	clientCd	748		1	1		1	1
2000	288	excelUpload	775		1	1		0	1
2001	288	register	723		1	1		0	1
2002	288	customerMaster	1274	grid	1	1		0	1
2003	288	chkErrorShow	1410	checkbox	1	1		0	1
2004	288	excelOutput	732		1	1		0	1
2005	288	errorProcessMet	1411	dropdown	1	1		0	1
2006	289	centerCd	664		1	1		0	1
2007	289	customerCd	426		1	1		1	1
2008	289	customerNm	428		1	1		1	1
2009	289	customerAbbr	429		1	1		1	1
2010	289	deliveryFlg	599		1	1		1	1
2011	289	vendorFlg	395		1	1		1	1
2012	289	onetimeFlg	271		1	1		1	1
2013	289	depositFlg	636		1	1		1	1
2014	289	address1	434		1	1		0	1
2015	289	address2	435		1	1		0	1
2016	289	address3	436		1	1		0	1
2017	289	zipCd	620		1	1		0	1
2018	289	telNo	536		1	1		0	1
2019	289	allocOrder	285		1	1	right	1	1
2020	289	shippingStopFlg	447		1	1		1	1
2021	289	limitDtReverseFlg	317		1	1		1	1
2022	289	addRow	721		1	1		0	1
2023	289	removeRow	722		1	1		0	1
2024	289	delFlg	819		1	1		1	1
2025	289	register	723		1	1		0	1
2026	289	customerList	2199	grid	1	1		0	1
2027	289	clientCd	748		1	0		0	1
2028	290	clientCd	748		1	1		1	1
2029	290	customerCd	426		1	1		0	1
2030	290	customerNm	428		1	1		0	1
2031	290	deliveryFlg	599		1	1		0	1
2032	290	vendorFlg	395		1	1		0	1
2033	290	onetimeFlg	271		1	1		0	1
2034	290	depositFlg	636		1	1		0	1
2035	290	customerList	2200	grid	1	1		1	1
2036	290	new	704		1	1		0	1
2037	290	update	705		1	1		0	1
2038	290	search	745		1	1		0	1
2039	290	excelOutput	732		1	1		0	1
2040	290	delFlg	819		1	1		0	1
2041	290	copy	1581		1	1		0	1
2042	291	centerCd	736		1	1		1	1
2043	291	search	745		1	1		0	1
2044	291	dailyList	2223	grid	1	1		0	1
2045	291	daily	1013		1	1		0	1
2046	291	dailyBatch	1013		0	1		0	1
2047	292	dataInputTypeCd	1283	dropdown	1	1		0	1
2048	292	dataRange	1261	dropdown	1	1		0	1
2049	292	processType	1260	dropdown	1	1		0	1
2050	292	commitType	1262	dropdown	1	1		0	1
2051	292	upload	1805		1	1		0	1
2052	292	download	1266		1	1		0	1
2053	292	operationType	1287	dropdown	1	1		1	1
2054	292	execute	1284		1	1		0	1
2055	292	inputTypeXls	1283	dropdown	1	1		1	1
2056	292	downloadXls	1266		1	1		0	1
2057	293	centerCd	736		1	0		0	1
2058	293	deliveryCourseCd	605		1	1		1	1
2059	293	deliveryCourseNm	607		1	1		1	1
2060	293	carrierCd	724		1	1		1	1
2061	293	pickingTime	454		1	1		0	1
2062	293	stowageTime	486		1	1		0	1
2063	293	shippingTime	449		1	1		0	1
2064	293	delFlg	819		1	1		1	1
2065	293	addRow	721		1	1		0	1
2066	293	removeRow	722		1	1		0	1
2067	293	register	723		1	1		0	1
2068	293	deliveryCourseMasterEdit	2229	grid	1	1		0	1
2069	293	tagType	1418		1	1		1	1
2070	293	trackingNumberingKey	1709		1	1		0	1
2071	293	trackingNumberingAfterKey	1710		1	1		0	1
2072	293	trackingNumberingUnit	1706		1	1		0	1
2073	293	tagTypeAfter	1703		1	1		0	1
2074	293	tagDataType	1255		1	1		0	1
2075	293	slipTagType	1721		1	1		0	1
2076	293	paymentTerm	2998		0	1		0	1
2077	294	centerCd	736		1	1		1	1
2078	294	deliveryCourseCd	605		1	1		0	1
2079	294	search	745		1	1		0	1
2080	294	new	704		1	1		0	1
2081	294	update	705		1	1		0	1
2082	294	deliveryCourseList	2230	grid	1	1		0	1
2083	294	excelOutput	732		1	1		0	1
2084	294	deliveryCourseNm	607		1	1		0	1
2085	294	carrierCd	724		1	1		0	1
2086	294	delFlg	819		1	1		0	1
2087	294	copy	1581		1	1		0	1
2088	295	selection	746		1	1		0	1
2089	295	centerCd	736		1	1		1	1
2090	295	deliveryCourseCd	605		1	1		0	1
2091	295	deliveryCourseNm	607		1	1		0	1
2092	295	search	745		1	1		0	1
2093	295	deliveryCourse	2231	grid	1	1		0	1
2094	295	close	747		1	1		0	1
2095	296	selection	746		1	1		0	1
2096	296	centerCd	736		1	0		0	1
2097	296	deliveryCourseCd	605		1	1		0	1
2098	296	deliveryCourseNm	607		1	1		0	1
2099	296	search	745		1	1		0	1
2100	296	deliveryCourse	2231	grid	1	1		0	1
2101	296	close	747		1	1		0	1
2102	296	searchResultTitle	2574		1	1		0	1
2103	297	centerCd	736		1	1		1	1
2104	297	clientCd	748		1	1		1	1
2105	297	shippingDtFrom	822		1	1		1	1
2106	297	shippingDtTo	821		1	1		1	1
2107	297	deliveryCourseCd	605		1	1		0	0
2108	297	carrierCd	724		1	1		0	0
2109	297	pickingBatchNo	457		1	1		0	0
2110	297	shippingStatus	438		1	1		0	0
2111	297	noAllcDisplayFlg	823		1	1		0	0
2112	297	emergencyFlg	1843		1	1		0	0
2113	297	cancelDisplay	2386	dropdown	1	1		0	0
2114	297	search	745		1	1		0	1
2115	297	excelOutput	732		1	1		0	1
2116	297	nonShippingTitle	1790		1	0		0	1
2117	297	shippingInstProcessingTitle	1791		1	0		0	1
2118	297	shippingInstedTitle	1793		1	0		0	1
2119	297	inspectionedTitle	901		1	0		0	1
2120	297	shippingFixedTitle	902		1	0		0	1
2121	297	cancelTitle	1799		1	0		0	1
2122	297	errorTitle	980		1	0		0	1
2123	297	emergencyTitle	1809		1	0		0	1
2124	297	stockOutFlgTitle	981		1	0		0	1
2125	297	deliveryCourseShippingList	2232	grid	1	1		0	1
