SCREEN_ID	SCREEN_CD	DICT_ID	SYSTEM_TYPE
118	ReceiveStoreQtyHT	2848	wms_ht
119	ReceiveStoreSelectHT	2849	wms_ht
120	ReceiveStoreSendHT	2850	wms_ht
121	SerialReceiveInspectionCancelHT	2891	wms_ht
122	SerialReceiveInspectionEndHT	1143	wms_ht
123	SerialReceiveInspectionHT	2686	wms_ht
124	SerialReceiveInspectionJanCdHT	2892	wms_ht
125	SerialReceiveInspectionRangeHT	2893	wms_ht
126	SerialReceiveInspectionSelectSupplierCdHT	2873	wms_ht
127	SerialReceiveInspectionSendHT	2894	wms_ht
128	SerialReceiveInspectionSerialNoCancelHT	2782	wms_ht
129	SerialReceiveInspectionSerialNoHT	2895	wms_ht
130	SerialReceiveInspectionWorkNoHT	2890	wms_ht
131	SerialShippingInspectionCancelHT	2778	wms_ht
132	SerialShippingInspectionHT	2687	wms_ht
133	SerialShippingInspectionJanCdHT	2779	wms_ht
134	SerialShippingInspectionRangeHT	2780	wms_ht
135	SerialShippingInspectionSendHT	2781	wms_ht
136	SerialShippingInspectionSerialNoCancelHT	2782	wms_ht
137	SerialShippingInspectionSerialNoHT	2783	wms_ht
138	SerialShippingInspectionSupplierSelectHT	2784	wms_ht
139	SerialShippingInspectionWorkNoHT	2785	wms_ht
140	ShippingCasePickingCancelHT	2752	wms_ht
141	ShippingCasePickingHT	2600	wms_ht
142	ShippingCasePickingJanCdHT	2748	wms_ht
143	ShippingCasePickingListHT	2751	wms_ht
144	ShippingCasePickingNoHT	2747	wms_ht
145	ShippingCasePickingQtyHT	2750	wms_ht
146	ShippingCasePickingStoreLabelNoHT	2749	wms_ht
147	ShippingLoadingInspectionCancelHT	2757	wms_ht
148	ShippingLoadingInspectionConfirmHT	2754	wms_ht
149	ShippingLoadingInspectionDeliveryCourseSelectHT	2756	wms_ht
150	ShippingLoadingInspectionHT	2685	wms_ht
151	ShippingLoadingInspectionListHT	2755	wms_ht
152	ShippingLoadingInspectionNoHT	2758	wms_ht
153	ShippingNoPackingBoxHT	2771	wms_ht
154	ShippingNoPackingCancelHT	2772	wms_ht
155	ShippingNoPackingCommonDialogHT	1143	wms_ht
156	ShippingNoPackingHT	886	wms_ht
157	ShippingNoPackingJanCdHT	2773	wms_ht
158	ShippingNoPackingListHT	2774	wms_ht
159	ShippingNoPackingQtyHT	2775	wms_ht
160	ShippingNoPackingSendHT	2776	wms_ht
161	ShippingNoPackingWorkNoHT	2777	wms_ht
162	ShippingPickingCancelHT	2797	wms_ht
163	ShippingPickingHT	2578	wms_ht
164	ShippingPickingListHT	2796	wms_ht
165	ShippingPickingProductCancelHT	2797	wms_ht
166	ShippingPickingProductHT	2578	wms_ht
167	ShippingPickingProductJanCdHT	2798	wms_ht
168	ShippingPickingProductListHT	2796	wms_ht
169	ShippingPickingProductQtyHT	2795	wms_ht
170	ShippingPickingProductWorkNoHT	2792	wms_ht
171	ShippingPickingQtyHT	2795	wms_ht
172	ShippingPickingSendHT	2794	wms_ht
173	ShippingPickingStoreLabelNoHT	2793	wms_ht
174	ShippingPickingWorkNoHT	2792	wms_ht
175	ShippingWorkCommentHT	1143	wms_ht
176	SingleRowShippingNoPackingBoxHT	3247	wms_ht
177	SingleRowShippingNoPackingHT	3234	wms_ht
178	SingleRowShippingNoPackingInstNumSelectHT	3246	wms_ht
179	SingleRowShippingNoPackingJanCdHT	3248	wms_ht
180	SingleRowShippingNoPackingNoHT	3244	wms_ht
181	SingleRowShippingNoPackingProductHT	3245	wms_ht
182	SingleRowShippingNoPackingWorkMessageHT	1143	wms_ht
183	StockMoveInCancelHT	2724	wms_ht
184	StockMoveInHT	2682	wms_ht
185	StockMoveInJanCdHT	2799	wms_ht
186	StockMoveInLabelNoHT	2800	wms_ht
187	StockMoveInLocHT	2801	wms_ht
188	StockMoveInSelectHT	2802	wms_ht
189	StockMoveInSendHT	2803	wms_ht
190	StockMoveOutCancelHT	2725	wms_ht
191	StockMoveOutCancelOrSendHT	2726	wms_ht
192	StockMoveOutHT	2681	wms_ht
