ROLE_GRP_ID	ROLE_GRP_CD	DICT_ID	ROLE_CONTROL_CLASS
1	SystemAdministrator	16	2
2	Administrators	15	2
3	Users	17	2
4	Viewers	1995	1
5	Workers	1996	2
6	Owners	2569	1
7	DepositViewers	2929	1
