CLASS_DTL_ID	CLASS_ID	CLASS_DTL_CD	DICT_ID	VIEW_ORDER	DEFAULT_FLG
679	231	0	3139	2	0
680	232	1	3138	1	0
681	232	0	3139	2	0
682	233	1	3138	1	0
683	233	0	3139	2	0
684	234	1	3138	1	0
685	234	0	3139	2	0
686	235	1	3138	1	0
687	235	0	3139	2	0
688	236	1	3138	1	0
689	236	0	3139	2	0
690	237	1	3138	1	0
691	237	0	3139	2	0
692	238	1	3138	1	0
693	238	0	3139	2	0
694	239	1	2578	1	0
695	239	2	3325	2	0
696	239	3	3326	3	0
697	239	4	1614	4	0
698	239	5	3327	5	0
699	239	6	2600	6	0
700	240	0	2711	1	0
701	240	1	2712	2	0
702	241	0	2711	1	0
703	241	1	2712	2	0
704	242	1	3362	1	0
705	242	2	3363	2	0
706	242	4	3364	3	0
707	242	8	3365	4	0
708	243	0	3371	1	1
709	243	1	3372	2	0
710	244	1	3380	1	0
711	245	1	3380	1	0
712	246	0	3422	1	0
713	246	1	3423	2	0
714	247	01	3381	1	0
715	247	02	3382	2	0
716	247	03	3383	3	0
717	247	04	3384	4	0
718	247	05	3385	5	0
719	247	06	3386	6	0
720	247	07	3387	7	0
721	247	08	3388	8	0
722	247	09	3389	9	0
723	247	10	3390	10	0
724	247	11	3391	11	0
725	247	12	3392	12	0
726	248	0	1789	1	0
727	248	1	1924	2	0
728	249	0	3393	1	0
729	249	1	3394	2	0
730	249	2	3395	3	0
731	250	0	1794	1	0
732	250	1	3396	2	0
733	250	2	3397	3	0
734	251	2000	3743	1	0
735	251	2300	3744	2	0
736	251	2400	3406	3	0
737	251	2500	3405	4	0
738	251	5000	3403	5	0
739	251	9998	3745	6	0
740	251	9999	3746	7	0
741	252	1	3398	1	0
742	253	JP	3486	1	0
743	253	YMT	3469	2	0
744	253	SGW	3470	3	0
745	254	1	3469	1	0
746	254	2	3470	2	0
747	254	6	3471	3	0
748	254	7	2529	4	0
749	255	Y	1178	1	0
750	256	0	3399	1	0
751	257	1	3400	1	0
752	258	BLDL3350	3401	1	0
753	259	1	3643	1	0
754	259	2	3643	2	0
755	260	1	2607	1	0
756	260	2	1178	2	0
757	261	W100	1754	1	0
758	262	C001	3402	1	0
759	262	C003	3403	2	0
760	263	C001	3402	1	0
761	263	C002	3404	2	0
762	263	C003	3403	3	0
763	263	C004	3405	4	0
764	263	C005	3406	5	0
765	264	0	3407	1	0
766	265	A	1823	1	0
767	265	B	1824	2	0
768	265	C	1825	3	0
769	265	D	1826	4	0
770	265	E	1827	5	0
771	265	F	1828	6	0
772	265	G	1829	7	0
