MENU_ID	MENU_GRP_ID	SCREEN_ID	DICT_ID	URL_PATH	TARGET_WINDOW	VIEW_ORDER	DEL_FLG
107	9	221		#/base/master/MenuGrpList	0	13	0
108	9	238		#/base/master/ReportMaster	0	14	0
109	9	236		#/base/master/ReportLayoutList	0	15	0
110	9	367		#/wms/master/ProcessTypeMaster	0	16	0
111	9	271		#/wms/master/CarrierSlipYmtMaster	0	17	0
112	9	269		#/wms/master/CarrierSlipSgwMaster	0	18	0
113	9	273		#/wms/master/CarrierSlipYupkMaster	0	19	0
114	9	308		#/wms/master/EdiList	0	20	0
115	9	323		#/wms/master/ImportTypeMasterList	0	21	0
116	9	348		#/wms/master/MatchingMaster	0	22	0
117	9	292		#/wms/common/DataInput	0	23	0
118	9	211		#/base/common/GridColExtBaseEdit	0	25	0
119	9	225		#/base/master/PrinterGroupList	0	26	0
120	9	232		#/base/master/PrintServiceList	0	27	0
121	9	226		#/base/master/PrinterList	0	28	0
122	9	224		#/base/master/PrinterAttributeList	0	29	0
123	9	250		#/base/master/SystemEdit	0	30	0
124	9	204		#/base/master/AutoPrintBulkPrinterChangeList	0	31	0
125	9	285		#/wms/master/CenterRelatedCopy	0	32	0
126	9	319		#/wms/master/HTDictMaster	0	33	0
127	9	318		#/wms/master/HTDictCultureMaster	0	34	0
128	9	320		#/wms/master/HTMessageMaster	0	35	0
129	9	437		#/wms/master/WebHTinfoMaster	0	36	0
130	9	233		#/base/master/PropertyMaster	0	37	0
131	10	340	1223	resources/menu/manual_common.pdf?downloadFile=manual/manual_common.pdf	0	1	0
132	10	346	1227	resources/menu/manual_pc.pdf?downloadFile=manual/manual_pc.pdf	0	2	0
133	10	344	1231	resources/menu/manual_ht.pdf?downloadFile=manual/manual_ht.pdf	0	3	0
134	10	347	1233	resources/menu/manual_ht.pdf?downloadFile=manual/manual_sd.pdf	0	4	0
135	10	343	1235	resources/menu/manual_help.pdf?downloadFile=manual/manual_help.pdf	0	5	0
136	10	345	1269	resources/menu/manual_label.pdf?downloadFile=manual/manual_label.pdf	0	6	0
137	10	341	1267	resources/menu/manual_ec.pdf?downloadFile=manual/manual_ec.pdf	0	7	0
138	10	314	1239	resources/menu/ReceivePlanBulkInput.xlsx?downloadFile=xlsTemplate/ReceivePlanBulkInput.xlsx	0	8	0
139	10	316	1241	resources/menu/ShippingPlanBulkInput.xlsx?downloadFile=xlsTemplate/ShippingPlanBulkInput.xlsx	0	9	0
140	10	317	1249	resources/menu/CustomerMasterBulkInput.xlsx?downloadFile=xlsTemplate/ZoneMasterBulkInput.xlsx	0	10	0
141	10	311	1247	resources/menu/CustomerMasterBulkInput.xlsx?downloadFile=xlsTemplate/LocationMasterBulkInput.xlsx	0	11	0
142	10	310	1245	resources/menu/CustomerMasterBulkInput.xlsx?downloadFile=xlsTemplate/CustomerMasterBulkInput.xlsx	0	12	0
143	10	313	1243	resources/menu/ProductMasterBulkInput.xlsx?downloadFile=xlsTemplate/ProductMasterBulkInput.xlsx	0	13	0
144	10	312	1251	resources/menu/ProductShapeMasterBulkInput.xlsx?downloadFile=xlsTemplate/ProductShapeMasterBulkInput.xlsx	0	14	0
145	10	309	1648	resources/menu/BarcodeLabelBulkPrint.xlsx?downloadFile=xlsTemplate/BarcodeLabelBulkPrint.xlsx	0	15	0
146	10	315	2598	resources/menu/SerialNoBulkInput.xlsx?downloadFile=xlsTemplate/SerialNoBulkInput.xlsx	0	16	0
147	10	340	1225	resources/menu/manual_common.pdf?downloadFile=manual/enUS/manual_common_enUS.pdf	0	17	1
148	10	346	1229	resources/menu/manual_pc.pdf?downloadFile=manual/enUS/manual_pc_enUS.pdf	0	18	1
149	10	343	1237	resources/menu/manual_help.pdf?downloadFile=manual/enUS/manual_help_enUS.pdf	0	19	1
150	10	314	1240	resources/menu/ReceivePlanBulkInput.xlsx?downloadFile=xlsTemplate/enUS/ReceivePlanBulkInput.xlsx	0	20	1
151	10	316	1242	resources/menu/ShippingPlanBulkInput.xlsx?downloadFile=xlsTemplate/enUS/ShippingPlanBulkInput.xlsx	0	21	1
152	10	317	1250	resources/menu/CustomerMasterBulkInput.xlsx?downloadFile=xlsTemplate/enUS/ZoneMasterBulkInput.xlsx	0	22	1
153	10	311	1248	resources/menu/CustomerMasterBulkInput.xlsx?downloadFile=xlsTemplate/enUS/LocationMasterBulkInput.xlsx	0	23	1
154	10	310	1246	resources/menu/CustomerMasterBulkInput.xlsx?downloadFile=xlsTemplate/enUS/CustomerMasterBulkInput.xlsx	0	24	1
155	10	313	1244	resources/menu/ProductMasterBulkInput.xlsx?downloadFile=xlsTemplate/enUS/ProductMasterBulkInput.xlsx	0	25	1
156	10	312	1252	resources/menu/ProductShapeMasterBulkInput.xlsx?downloadFile=xlsTemplate/enUS/ProductShapeMasterBulkInput.xlsx	0	26	1
157	10	340	1226	resources/menu/manual_common.pdf?downloadFile=manual/zhCN/manual_common_zhCN.pdf	0	27	1
