COL_ID	ITEM_ID	COL_CD	DICT_ID	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE
1012	2340	mwarehouse.warehouseNm	501	35	text	1	0		0	300		
1013	2340	mlocation.mzone.zoneCd	211	36	text	1	0		0	90		
1014	2340	mlocation.mzone.zoneNm	213	37	text	1	0		0	170		
1015	2340	tinventoryH.mclient.clientCd	299	38	text	1	0		0	200		
1016	2340	tinventoryH.mclient.clientNm	305	39	text	1	0		0	200		
1017	2340	tinventoryH.mcenter.centerCd	202	40	text	1	0		0	200		
1018	2340	tinventoryH.mcenter.centerNm	208	41	text	1	0		0	200		
1019	2388	hinventoryH.histDt	641	1	date	1	0		0	150		
1020	2388	hinventoryH.inventoryDt	519	2	date	1	0		0	150		
1021	2388	hinventoryH.batchNum	222	3	text	1	0		0	150		
1022	2388	locationCd	262	4	text	1	0		0	200		
1023	2388	locationNm	265	5	text	1	0		0	250		
1024	2388	productCd	470	6	text	1	0		0	245		
1025	2388	productNm	474	7	text	1	0		0	300		
1026	2388	inventoryNum	518	8	number	1	0	right	0	100		
1027	2388	chargeNum	280	9	number	1	0	right	0	150		
1028	2388	allocNum	282	10	number	1	0	right	0	95		
1029	2388	moveNum	1696	11	number	1	0	right	0	245		
1030	2388	unitNum	591	12	number	0	0	right	0	170		
1031	2388	lot	266	13	text	1	0		0	170		
1032	2388	limitDt	315	14	date	1	0		0	150		
1033	2388	storeLabelNo	579	15	text	1	0		0	140		
1034	2388	storeDt	589	16	date	1	0		0	150		
1035	2388	mstockType.stockTypeCd	384	17	text	1	0		0	110		
1036	2388	mstockType.vdict.dictNm	865	18	text	1	0		0	110		
1037	2388	depositCd	634	19	text	1	0		0	160		
1038	2388	depositNm	637	20	text	1	0		0	300		
1039	2388	supplierCd	393	21	text	1	0		0	200		
1040	2388	supplierNm	396	22	text	1	0		0	300		
1041	2388	warehouseCd	499	23	text	1	0		0	85		
1042	2388	warehouseNm	501	24	text	1	0		0	300		
1043	2388	inputType	1750	25	text	1	0		0	110		
1044	2388	bclassDtlByInputType.vdict.dictNm	1751	26	text	1	0		0	110		
1045	2388	stockAdjustFlg	1752	27	text	1	0		0	150		
1046	2388	bclassDtlByStockAdjustFlg.vdict.dictNm	1753	28	text	1	0		0	170		
1047	2388	hinventoryH.clientCd	299	29	text	1	0		0	200		
1048	2388	hinventoryH.clientNm	305	30	text	1	0		0	200		
1049	2388	hinventoryH.centerCd	202	31	text	1	0		0	200		
1050	2388	hinventoryH.centerNm	208	32	text	1	0		0	200		
1051	2403	tinventoryH.inventoryDt	519	1	date	1	0		0	150		
1052	2403	mlocation.locationNm	265	2	text	1	0		0	250		
1053	2403	mproduct.productCd	470	3	text	1	0		0	245		
1054	2403	mproduct.janCd	180	4	text	1	0		0	205		
1055	2403	mproduct.productNm	474	5	text	1	0		0	300		
1056	2403	productUnit	2946	6	text	1	0		0	90		
1057	2403	storeLabelNo	579	7	text	1	0		0	140		
1058	2403	lot	266	8	text	1	0		0	170		
1059	2403	limitDt	315	9	date	1	0		0	150		
1060	2403	storeDt	589	10	date	1	0		0	150		
1061	2403	mcustomerByDepositId.customerCd	634	11	text	1	0		0	160		
1062	2403	mcustomerByDepositId.customerNm	637	12	text	1	0		0	300		
1063	2403	mstockType.stockTypeCd	384	13	text	1	0		0	110		
1064	2403	mstockType.vdict.dictNm	865	14	text	1	0		0	110		
1065	2403	mcustomerBySupplierId.customerCd	393	15	text	1	0		0	200		
1066	2403	mcustomerBySupplierId.customerNm	396	16	text	1	0		0	300		
1067	2403	unitNumBreakdown	2727	17	text	1	0	right	0	220		
1068	2403	chargeNum	940	18	number	1	0	right	0	140		
1069	2403	allocNum	941	19	number	1	0	right	0	125		
1070	2403	moveNum	942	20	number	1	0	right	0	125		
1071	2403	inventoryBeforeBreakdown	2732	21	text	1	0	right	0	200		
1072	2403	inventoryNum	951	22	number	1	0	right	0	95		
1073	2403	inventoryBreakdown	2951	23	text	1	0	right	0	200		
1074	2403	updUser	957	24	text	1	0		0	160		
1075	2403	updDt	594	25	datetime	1	0	center	0	180		
1076	2403	mwarehouse.warehouseCd	499	26	text	1	0		0	85		
1077	2403	mwarehouse.warehouseNm	501	27	text	1	0		0	300		
1078	2403	mlocation.mzone.zoneCd	211	28	text	1	0		0	90		
