SCREEN_ID	SCREEN_CD	DICT_ID	SYSTEM_TYPE
380	ReceiveInputNo	788	wms
381	ReceiveInspectionSD	2572	wms_sd
382	ReceivePartList	809	wms
383	ReceivePlanBulkInput	734	wms
384	ReceivePlanInput	787	wms
385	ReceivePlanListPrint	818	wms
386	ReceiveStatusProgress	1589	wms
387	ReferenceProductReceiveList	2919	wms
388	ReferenceProductShippingList	872	wms
389	ReferenceStockList	2924	wms
390	ReferenceTotalStockList	1475	wms
391	ReplenishInstList	1517	wms
392	SelectClient	163	wms
393	SerialNoBulkInput	2595	wms
394	SerialNoList	2584	wms
395	SetStructureEdit	1493	wms
396	SetStructureSearch	1499	wms
397	ShapeGroupMasterEdit	2937	wms
398	ShapeGroupMasterList	2936	wms
399	ShapeMaster	1545	wms
400	ShippingConfirmList	937	wms
401	ShippingConfirmListCarrierTraceNum	3006	wms
402	ShippingHistory	1688	wms
403	ShippingInputNoPlan	1024	wms
404	ShippingInstDetail	1005	wms
405	ShippingInstList	842	wms
406	ShippingLotList	1007	wms
407	ShippingPlanBulkInput	997	wms
408	ShippingPlanInput	1014	wms
409	ShippingStatusProgress	1586	wms
410	ShippingTagDataOutput	925	wms
411	ShippingUpdate	1015	wms
412	ShippingWorkRefUpdate	931	wms
413	SingleRowShippingInspect	3234	wms
414	SlipNoReceiveList	795	wms
415	StockAdj	907	wms
416	StockBulkMove	2653	wms
417	StockInOutList	860	wms
418	StockList	881	wms
419	StockMove	1001	wms
420	StockMoveBodyList	1665	wms
421	StockMoveHistory	1676	wms
422	StockMoveInstList	1498	wms
423	StockMoveList	1495	wms
424	StockSetInst	1480	wms
425	StockSetInstListPrint	1509	wms
426	StockSetRelease	1484	wms
427	StockSetReleaseListPrint	1510	wms
428	StockTypeMaster	1307	wms
429	StoreLabelPrint	845	wms
430	StwListPrint	999	wms
431	TotalStockList	1474	wms
432	UserEdit	1047	wms
433	UserMasterList	1046	wms
434	VendorMasterSearch	713	wms
435	VendorMasterSearchSD	713	wms_sd
436	WarehouseMaster	700	wms
437	WebHTinfoMaster	3355	wms
438	ZipMaster	706	wms
439	ZipMasterBulkInput	3353	wms
440	ZipMasterEdit	1414	wms
441	ZipMasterSearch	1218	wms
442	ZipMasterSearchSD	1218	wms_sd
443	ZoneMaster	843	wms
