CLASS_ID	CLASS_GRP_ID	CLASS_GRP_CD	CLASS_GRP_COMMENT
103	1	PACKING_STATUS_SELECT	プルダウン用梱包ステータス
113	2	PICKING_STATUS_SELECT	プルダウン用出庫ステータス
133	3	RECEIVE_STATUS_PRL	商品別入荷一覧プルダウン用入荷ステータス
151	4	SHIPPING_STATUS_SELECT	プルダウン用出荷ステータス
151	5	SHIPPING_STATUS_EOL	EC受注データ一覧用出荷ステータス
151	6	SHIPPING_STATUS_WORKING	出庫指示後出荷ステータス
283	7	HINMOKU_GROUP_CD_FW	FWの品目グループ
283	8	HINMOKU_GROUP_CD_YOUHIN	用品の品目グループ
