DICT_ID	DICT_NM
1	メインメニュー
4	プリンタ
8	帳票レイアウト
28	ログイン
30	パスワード
70	プリンタグループ
78	プリンタ属性
142	権限制御区分
143	権限制御区分CD
144	権限制御区分名称
145	許可を指定
146	拒否を指定
156	ユーザ別プリンタ
157	端末別プリンタ
158	マスタ
161	在庫
164	荷主選択
180	ｿｰｽCD
217	ﾋﾟｯｷﾝｸﾞｸﾞﾙｰﾌﾟNo
243	メニュー
247	ユーザCD
252	ユーザ名
266	ロット
291	仮置No
292	荷材CD
315	期限日
353	顧客入荷指示No
396	仕入先名称
400	指示数
443	出荷梱包No
455	出庫作業No
456	出庫作業メッセージ
579	入庫No
591	入数
628	予数
746	選択
748	荷主
751	処理区分
752	処区
776	預託
777	在庫区分
778	在区
779	商品
790	ロケ
815	総予定数
819	削除
844	仕入先
886	出荷検品
903	確定
909	検品数
910	検数
912	総検品数
914	箱登録
917	ステータス
982	在庫数
985	移動数
990	検品残数
991	個口番号
1002	Ｃ数
1003	配送コース
1004	配送C
1017	納品先
1021	Ｐ数
1143	確認
1150	数量
1174	ピース
1175	ps
1176	ボール
1177	bl
1178	ケース
1179	cs
1180	グラム
1181	g
1516	出庫作業No/梱包No
1613	在庫管理
1763	入庫格納
1789	エラー
1871	未検品
1872	検品済
1879	作業中
1880	完了
1916	正常終了
1924	警告
2572	入荷検品
2576	ケースピッキングNo
2578	オーダピッキング
2580	伝票No
2581	仮ロケ
2582	汎用ラベルNo
2583	汎用No
2590	バラ数
2592	出庫ロケ
2593	先ロケ
2594	入庫ロケ
2599	追跡No/梱包No
2600	ケースピッキング
2670	入荷管理
2671	出荷管理
2672	棚卸管理
2673	運用管理
2674	送信
2675	戻る
2676	次
2677	前
2678	在庫区分選択
2679	在庫検索
2680	在庫検索(一覧)
2681	在庫移動出庫
2682	在庫移動入庫
2683	入荷検品格納
2684	予定無し入荷
2685	積込検品
2686	シリアル登入
2687	シリアル登出
2688	商品棚卸入力
2689	ロケ変更
2690	ロケ一括変更
2691	プリンタ選択
2692	いいえ
2693	はい
2694	致命的エラー
2695	終了
2696	継続
2697	削除しますか？
2698	中断しますか？
2699	入力補助
2700	商品荷姿
2701	OK
2702	[0]([1])
2703	入荷検品(数量)
2704	…
2705	一覧
2706	内訳
2713	ロケ変更を
2714	終了しますか？
2715	在庫移動入庫を
2716	続けて入庫作業し
2717	ますか？
2718	在庫移動出庫を
2719	中断データが
2720	存在します。
2721	再開しますか？
2722	再開
2723	再開します。
2724	在庫移動入庫(終了)
2725	在庫移動出庫(終了)
2726	在庫移動出庫(確認)
2727	入数内訳
2728	予定単位
2729	予定内訳
2730	入庫単位
2731	入庫内訳
2732	棚卸前内訳
2733	調整前総数荷姿
2734	調整後総数荷姿
2735	調整総数荷姿
2736	商品数
2737	ロケ変更(出庫ロケ)
2738	ロケ変更(一覧)
2739	ロケ変更(入庫ロケ)
2740	ロケ変更(確認)
2741	データを登録します。
2742	よろしいですか？
2743	ロケ変更(終了)
2744	ｽｷｯﾌﾟ
2745	ケースピッキングを
2746	ピッキングNo
2747	ケースピック(No)
2748	ケースピック(ｿｰｽCD)
2749	ケースピック(入庫No)
2750	ケースピック(数量)
2751	ケースピック(一覧)
2752	ケースピック(終了)
2753	選択後、[ENT]で確定
2754	積込検品(確認)
2755	積込検品(一覧)
2756	配送コース選択
2757	積込検品(終了)
2758	積込検品(No)
2759	の積込検品が
2760	終了しました。
2761	積込検品を
2762	使用した荷材CDを
2763	入力してください。
2764	決定
2765	出荷検品キャンセル
2766	しますか？
2767	合計個口数
2768	中断
2769	総個口数
2770	シリアル登出を
2771	出荷検品(箱登録)
2772	出荷検品(終了)
2773	出荷検品(ｿｰｽCD)
2774	出荷検品(一覧)
2775	出荷検品(数量)
2776	出荷検品(確認)
2777	出荷検品(No)
2778	ｼﾘｱﾙ登出(終了)
2779	ｼﾘｱﾙ登出(ｿｰｽCD)
2780	ｼﾘｱﾙ登出(範囲)
2781	ｼﾘｱﾙ登出(確認)
2782	ｼﾘｱﾙｸﾘｱ確認
2783	ｼﾘｱﾙ登出(ｼﾘｱﾙ)
2784	納品先選択
2785	ｼﾘｱﾙ登出(No)
2786	ｽﾀｰﾄｼﾘｱﾙ
2787	ｼﾘｱﾙ
2788	入力したシリアルを
2789	クリアしますか？
2790	範囲
2791	オーダピッキングを
2792	オーダピック(No)
2793	オーダピック(入庫No)
2794	オーダピック(確認)
2795	オーダピック(数量)
2796	オーダピック(一覧)
2797	オーダピック(終了)
2798	オーダピック(ｿｰｽCD)
2799	移動入庫(ｿｰｽCD)
2800	移動入庫(入庫No)
2801	移動入庫(ロケ)
2802	移動入庫(選択)
2803	移動入庫確認
2804	プリンタ選択を
2805	キャンセルしますか？
2806	トレイ
2807	Pｸﾞﾙｰﾌﾟ
2808	ﾌﾟﾘﾝﾀ
2809	帳票L
2810	同じ帳票レイアウトが
2811	登録されています。
2812	更新しますか？
2813	プリンタ選択(終了)
2814	選択プリンタ一覧
2815	プリンタグループ選択
2816	帳票レイアウト選択
2817	プリンタ選択(確認)
2818	トレイ選択
2819	更新確認
2820	移動出庫(入庫No)
2821	移動出庫(ロケ)
2822	移動出庫(ｿｰｽCD)
2823	移動出庫(選択)
2824	移動出庫(数量)
2825	移動出庫確認
2826	商品棚卸(終了)
2827	商品棚卸を
2828	預託選択
2829	商品棚卸(ｿｰｽCD)
2830	商品棚卸(在区)
2831	商品棚卸(詳細)
2832	商品棚卸(一覧)
2833	商品棚卸(ロケ)
2834	商品棚卸(数量)
2835	商品棚卸完了
2836	か？
2837	商品棚卸(確認)
2838	入庫格納(終了)
2839	入庫格納を
2840	入庫格納(ｿｰｽCD)
2841	入庫格納(仮ロケ)
2842	入庫格納(入庫No)
2843	入庫格納(詳細)
2844	入庫格納(一覧)
2845	入荷数
2846	格納数
2847	入庫格納(ロケ)
2848	入庫格納(数量)
2849	入庫格納(選択)
2850	入庫格納確認
2851	入庫格納完了
2852	データを登録
2853	シリアル登入を
2854	予定無し入荷(終了)
2855	予定無し入荷を
2856	予定無し入荷(ｿｰｽCD)
2857	予定無し入荷完了
2858	期限日が過ぎています
2859	登録しますか？
2860	検品を完了しますか？
2861	予定無し入荷(区分)
2862	ラベル選択
2863	予定無し入荷(汎用)
2864	予定無し入荷(詳細)
