PROCESS_TYPE_ID	PROCESS_TYPE_CD	DICT_ID	RECEIVE_FLG	SHIPPING_FLG	STOCK_ADJUST_FLG	DEFAULT_FLG	STOCK_TYPE_ID
1	01	1756	1	0	0	1	1
2	02	1757	1	0	0	0	2
3	11	1758	0	1	0	1	1
4	12	1759	0	1	0	0	2
5	21	1760	0	0	0	0	1
6	23	1761	0	0	1	0	1
7	24	1762	0	0	1	0	1
8	25	1763	0	0	0	0	1
9	27	1912	0	0	0	0	1
10	29	1913	0	0	0	0	1
11	30	1480	0	0	0	0	1
12	31	1484	0	0	0	0	1
13	32	2087	0	0	0	0	1
14	33	2088	0	0	0	0	1
