メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ
duplicateClickError	error	base	ja-JP	登録しようとしたデータはすでに登録済みです。	二重送信		en-US	This data is already registered.	Already registered		zh-CN	要登录的数据之前已登录。	二重送信	
entityAlreadyDeletedError	error	base	ja-JP	他のユーザに変更された可能性があります。内容を確認して下さい。	他ユーザ変更		en-US	This record may have been modified by another user. Please review the contents.	Changed by other user		zh-CN	其他用户可能正在变更。请确认内容。	其他用户变更	
entityAlreadyExistsError	error	base	ja-JP	データが重複している為、登録できません。管理者に連絡して下さい。	重複		en-US	Duplicate data already exists and cannot be registered. If this is an error, please contact your administrator.	Duplicate data		zh-CN	数据重复，无法登录。请联络管理者。	重复	
entityAlreadyUpdatedError	error	base	ja-JP	他のユーザに変更されています。内容を確認して下さい。	他ユーザ変更		en-US	This record has been modified by another user. Please review the updated contents.	Changed by other user		zh-CN	其他用户正在更改。请确认内容。	其他用户变更	
entry	info	base	ja-JP	登録			en-US	Register			zh-CN	登录		
fileUploadDefineError	error	base	ja-JP	アップロード用の定義情報が不正です。管理者にご連絡下さい。	アップロード定義不正		en-US	Invalid upload file format. Please contact your administrator.	Invalid upload format		zh-CN	上传用的定义信息不正确。请联络管理者。	上传定义错误	
fileUploadOpenError	error	base	ja-JP	アップロードされたファイルが開けませんでした。ファイルに問題がないか確認して下さい。	ファイルオープン不可		en-US	Could not open the file. Please make sure the file exists and is in a valid format.	Unable to open file		zh-CN	打不开上传的文件。请确认文件是否正常。	文件无法打开	
fileUploadSetCsvColError	error	base	ja-JP	データの取り込み中にエラーが発生しました。[/]行番号：[0] , 列番号：[1]	取込失敗		en-US	An error occurred while processing the data. [/] Line number: [0], column number: [1]	Acquisition failure		zh-CN	数据读入过程中发生错误。[/]行号码：[0] , 列号码：[1]	读入失败	
fileUploadSetCsvRowError	error	base	ja-JP	データの取り込み中にエラーが発生しました。[/]行番号：[0]	取込失敗		en-US	An error occurred while processing the data. [/] Line number: [0]	Acquisition failure		zh-CN	数据读入过程中发生错误。[/]行号码：[0]	读入失败	
fileUploadSetError	error	base	ja-JP	データの取り込み中にエラーが発生しました。	取込失敗		en-US	An error occurred while processing the data.	Acquisition failure		zh-CN	数据读入过程中发生错误。	读入失败	
fileUploadSetExcelColError	error	base	ja-JP	データの取り込み中にエラーが発生しました。[/]シート名：[0] , 行番号：[1] , 列番号：[2]	取込失敗		en-US	An error occurred while processing the data. [/] Sheet Name: [0], line number: [1], the column number: [2]	Acquisition failure		zh-CN	数据读入过程中发生错误。[/]工作表名：[0] , 行号码：[1] , 列号码：[2]	读入失败	
