MENU_GRP_CD	DICT_NM	PARENT_MENU_GRP_CD	VIEW_ORDER	VISIBLE_TYPE	SCREEN_CD	DICT_NM	DICT_NM	URL_PATH	TARGET_WINDOW	VIEW_ORDER	DEL_FLG
ECORDER	EC受注		1	PC	EcOrderBulkInput	EC受注データ一括取込		#/wms/ecorder/EcOrderBulkInput	0	1	0
ECORDER	EC受注		1	PC	EcOrderList	EC受注データ一覧		#/wms/ecorder/EcOrderList	0	2	0
ECORDER	EC受注		1	PC	EcShippingTagDataOutput	EC送り状データ出力		#/wms/ecorder/EcShippingTagDataOutput	0	3	0
RECEIVE	入荷		2	PC	ReceiveStatusProgress	入荷ステータス別進捗		#/wms/receive/ReceiveStatusProgress	0	1	0
RECEIVE	入荷		2	PC	SlipNoReceiveList	伝票別入荷一覧		#/wms/receive/SlipNoReceiveList	0	2	0
RECEIVE	入荷		2	PC	ProductReceiveList	商品別入荷一覧		#/wms/receive/ProductReceiveList	0	3	0
RECEIVE	入荷		3	PC	ReferenceProductReceiveList	商品別入荷一覧(参照)		#/wms/receive/ReferenceProductReceiveList	0	4	0
RECEIVE	入荷		2	PC	ReceivePartList	入荷未完了一覧		#/wms/receive/ReceivePartList	0	5	0
RECEIVE	入荷		2	PC	ReceivePlanInput	入荷予定入力		#/wms/receive/ReceivePlanInput	0	6	0
RECEIVE	入荷		2	PC	ReceivePlanBulkInput	入荷予定一括取込		#/wms/receive/ReceivePlanBulkInput	0	7	0
RECEIVE	入荷		2	PC	ReceivePlanListPrint	入荷予定リスト発行		#/wms/receive/ReceivePlanListPrint	0	8	0
RECEIVE	入荷		2	PC	StoreLabelPrint	入庫ラベル発行		#/wms/receive/StoreLabelPrint	0	9	0
RECEIVE	入荷		2	PC	ClassLabelPrint	汎用ラベル発行		#/wms/receive/ClassLabelPrint	0	10	0
RECEIVE	入荷		2	PC	ReceiveInputNo	入荷実績入力(予定なし)		#/wms/receive/ReceiveInputNo	0	11	0
RECEIVE	入荷		2	PC	ReceiveHistory	入荷履歴		#/wms/receive/ReceiveHistory	0	12	0
SHIPPING	出荷		3	PC	ShippingStatusProgress	出荷ステータス別進捗		#/wms/shipping/ShippingStatusProgress	0	1	0
SHIPPING	出荷		3	PC	DeliveryCourseShippingList	配送コース別出荷一覧		#/wms/shipping/DeliveryCourseShippingList	0	2	0
SHIPPING	出荷		3	PC	ShippingInstList	出庫指示一覧		#/wms/shipping/ShippingInstList	0	3	0
SHIPPING	出荷		3	PC	ProductShippingList	商品別出荷一覧		#/wms/shipping/ProductShippingList	0	4	0
SHIPPING	出荷		3	PC	ReferenceProductShippingList	商品別出荷一覧(参照)		#/wms/shipping/ReferenceProductShippingList	0	5	0
SHIPPING	出荷		3	PC	ShippingPlanInput	出荷指示入力		#/wms/shipping/ShippingPlanInput	0	6	0
SHIPPING	出荷		3	PC	ShippingPlanBulkInput	出荷指示一括取込		#/wms/shipping/ShippingPlanBulkInput	0	7	0
SHIPPING	出荷		3	PC	ShippingLotList	出荷期限管理一覧		#/wms/shipping/ShippingLotList	0	8	0
SHIPPING	出荷		3	PC	PickingListPrint	ピッキングリスト発行		#/wms/shipping/PickingListPrint	0	9	0
SHIPPING	出荷		3	PC	PickingMethodRecommendation	ピッキング提案		#/wms/shipping/PickingMethodRecommendation	0	10	0
SHIPPING	出荷		3	PC	PieceShippingInspect	出荷検品		#/wms/shipping/PieceShippingInspect	0	11	0
SHIPPING	出荷		3	PC	SingleRowShippingInspect	単行出荷検品		#/wms/shipping/SingleRowShippingInspect	0	12	0
SHIPPING	出荷		3	PC	PackingListUpdate	梱包明細修正		#/wms/shipping/PackingListUpdate	0	13	0
SHIPPING	出荷		3	PC	DeliverySlipListPrint	納品明細発行		#/wms/shipping/DeliverySlipListPrint	0	14	0
SHIPPING	出荷		3	PC	StwListPrint	積込リスト発行		#/wms/shipping/StwListPrint	0	15	0
SHIPPING	出荷		3	PC	ShippingInputNoPlan	出荷実績入力(予定なし)		#/wms/shipping/ShippingInputNoPlan	0	16	0
SHIPPING	出荷		3	PC	ShippingConfirmList	出荷確定一覧		#/wms/shipping/ShippingConfirmList	0	17	0
SHIPPING	出荷		3	PC	ShippingTagDataOutput	送り状データ出力		#/wms/shipping/ShippingTagDataOutput	0	18	0
SHIPPING	出荷		3	PC	PackingList	梱包明細一覧		#/wms/shipping/PackingList	0	19	0
SHIPPING	出荷		3	PC	ShippingHistory	出荷履歴		#/wms/shipping/ShippingHistory	0	20	0
SHIPPING	出荷		3	PC	PackingHistory	梱包履歴		#/wms/shipping/PackingHistory	0	21	0
SHIPPING	出荷		3	PC	BillOfLadingPrint	Bill of Lading発行		#/wms/shipping/BillOfLadingPrint	0	22	1
STOCK	在庫		4	PC	TotalStockList	トータル在庫問合せ		#/wms/stock/TotalStockList	0	1	0
STOCK	在庫		4	PC	ReferenceTotalStockList	トータル在庫問合せ(参照)		#/wms/stock/ReferenceTotalStockList	0	2	0
STOCK	在庫		4	PC	StockList	在庫問合せ		#/wms/stock/StockList	0	3	0
STOCK	在庫		4	PC	ReferenceStockList	在庫問合せ(参照)		#/wms/stock/ReferenceStockList	0	4	0
STOCK	在庫		4	PC	StockInOutList	在庫受払問合せ		#/wms/stock/StockInOutList	0	5	0
STOCK	在庫		4	PC	StockMoveList	在庫移動一覧		#/wms/stock/StockMoveList	0	6	0
STOCK	在庫		4	PC	StockSetInst	セット組指示		#/wms/stock/StockSetInst	0	7	0
