COL_ID	ITEM_ID	COL_CD	DICT_ID	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE
2327	3363	instNumMultiText	2938	12	number	0	1	right	0	110		
2328	3363	depositCd	776	13	dropdown	1	1		1	300		
2329	3363	stockTypeCd	777	14	dropdown	1	1		1	195		
2330	3385	lineNo	359	1	number	1	0	right	0	60		
2331	3385	productCd	470	2	text	1	0		0	245		
2332	3385	mproduct.janCd	180	3	text	1	0		0	205		
2333	3385	mproduct.productNm	474	4	text	1	0		0	300		
2334	3385	mproduct.productAbbr	475	5	text	1	0		0	300		
2335	3385	productUnit	2936	6	text	1	0		0	90		
2336	3385	instNum	400	7	number	1	0	right	0	95		
2337	3385	allocNum	282	8	number	1	0	right	0	95		
2338	3385	depositCd	417	9	text	1	0		0	160		
2339	3385	mcustomer.customerNm	419	10	text	1	0		0	300		
2340	3385	stockTypeCd	2225	11	text	1	0		0	160		
2341	3385	mstockType.vdict.dictNm	2226	12	text	1	0		0	160		
2342	3385	lot	405	13	text	1	0		0	170		
2343	3385	limitDt	410	14	date	1	0		0	150		
2344	3385	warehouseCd	411	15	text	1	0		0	90		
2345	3385	mwarehouse.warehouseNm	413	16	text	1	0		0	300		
2346	3385	mlocation.locationNm	404	17	text	1	0		0	250		
2347	3385	tpickingBList[0].tstock.mcustomer.customerCd	634	18	text	1	0		0	160		
