荷揃表・荷札・納品書再発行			wms									ja-JP	荷揃表・荷札・納品書再発行							
検索基準日			wms									ja-JP	検索基準日							
出荷帳票発行区分			wms									ja-JP	出荷帳票発行区分							
運送便CD			wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		5					ja-JP	運送便CD							
荷揃番号(From)			wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		13					ja-JP	荷揃番号(From)							
荷揃番号(To)			wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		13					ja-JP	荷揃番号(To)							
代表荷揃番号(From)			wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		7					ja-JP	代表荷揃番号(From)							
代表荷揃番号(To)			wms	^[0-9a-zA-Z\-]*$	inputLimitCheckAlphabetAndNumericAndHyphenOnlyError		7					ja-JP	代表荷揃番号(To)							
荷揃表・荷札・納品書再発行グリッド			wms									ja-JP	荷揃表・荷札・納品書再発行グリッド							
荷揃番号			wms									ja-JP	荷揃番号							
代表荷揃番号			wms									ja-JP	代表荷揃番号							
送り先名称			wms									ja-JP	送り先名称							
運送便名称			wms									ja-JP	運送便名称							
出荷処理区分CD			wms									ja-JP	出荷処理区分CD							
出荷処理区分名称			wms									ja-JP	出荷処理区分名称							
出荷区分CD			wms									ja-JP	出荷区分CD							
出荷区分名称			wms									ja-JP	出荷区分名称							
荷揃表発行			wms									ja-JP	荷揃表発行							
荷揃表発行日時			wms									ja-JP	荷揃表発行日時							
荷札発行日時			wms									ja-JP	荷札発行日時							
納品書発行			wms									ja-JP	納品書発行							
納品書発行日時			wms									ja-JP	納品書発行日時							
梱包明細発行			wms									ja-JP	梱包明細発行							
梱包明細発行日時			wms									ja-JP	梱包明細発行日時							
個人別支給明細発行			wms									ja-JP	個人別支給明細発行							
個人別支給明細発行日時			wms									ja-JP	個人別支給明細発行日時							
個別貼り付けラベル発行			wms									ja-JP	個別貼り付けラベル発行							
個別貼り付けラベル発行日時			wms									ja-JP	個別貼り付けラベル発行日時							
