メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ
locationNotFoundError	error	wms	ja-JP	ロケーションマスタに存在しません。	未存在	ロケーションマスタに存在しません。								
locationNotInputError	error	wms	ja-JP	ロケーションを入力して下さい。	未入力	ロケーションを入力して下さい。								
locationTypeNotFoundError	error	wms	ja-JP	ロケーション種別が存在しません。	未存在									
locationTypeNotInputError	error	wms	ja-JP	ロケーション種別を入力して下さい。	未入力									
lotCannotInputExceptLotManagementProductError	error	wms	ja-JP	この商品はロット管理対象外です。ロットは入力しないで下さい。	ロット入力不可									
lotCdCheckHalfWidthOnlyError	error	wms	ja-JP	ロットCD 半角文字のみ	半角文字のみ									
lotCdCheckInputMaxError	error	wms	ja-JP	ロットCDは最大[0]文字以下を入力して下さい。	最大[0]文字以下									
lotCheckHalfWidthOnlyError	error	wms	ja-JP	指定ロット 半角文字のみ	半角文字のみ									
lotCheckInputMaxError	error	wms	ja-JP	指定ロットは最大10文字以下を入力して下さい。	最大10文字以下									
lotManagFlgNotFoundError	error	wms	ja-JP	ロット管理区分が存在しません。	未存在									
lotManagFlgNotInputError	error	wms	ja-JP	ロット管理区分を入力して下さい。	未入力									
lotNotFoundInLotMasterError	error	wms	ja-JP	ロットマスタに存在しません。	未存在									
lotNotInputError	error	wms	ja-JP	ロットを入力して下さい。	未入力									
lotNotInputLotManagementProductError	error	wms	ja-JP	この商品はロット管理対象です。ロットを入力して下さい。	未入力	この商品はロット管理対象です。ロットを入力して下さい。								
lotReverseFlgCheckNoManagError	error	wms	ja-JP	ロット管理フラグに[管理しない]を設定した場合、ロット逆転防止フラグも[管理しない]を設定して下さい。	ロット管理フラグと不整合									
lotReverseFlgNotFoundError	error	wms	ja-JP	ロット逆転防止フラグが存在しません。	未存在									
lotReverseFlgNotInputError	error	wms	ja-JP	ロット逆転防止フラグを入力して下さい。	未入力									
macAddressDuplicateError	error	wms	ja-JP	MACアドレスが重複しています。	重複									
matchingDuplicateError	error	wms	ja-JP	マッチング種別、キーワードが重複しています。	重複									
matchingNotFoundError	error	wms	ja-JP	マッチングマスタに存在しません。	未存在									
maxNumberLengthOverError	error	wms	ja-JP	最大値の桁数が桁数欄に入力した値の範囲になるよう入力して下さい。	整数[0]桁以内									
maxNumberSmallerThanMinNumberError	error	wms	ja-JP	最小値には最大値未満の値を入力して下さい。	最大[0]以下									
maxStoreNumCheckDecimalOnlyError	error	wms	ja-JP	最大格納数 数値のみ 	数値のみ									
maxStoreNumCheckInputDecimalError	error	wms	ja-JP	最大格納数に小数は入力できません。	小数不可									
maxStoreNumCheckInputDecimalLengthError	error	wms	ja-JP	最大格納数は小数3桁以内を入力して下さい。	小数3桁以内									
maxStoreNumCheckInputIntegerError	error	wms	ja-JP	最大格納数は整数7桁以内を入力して下さい。	整数7桁以内									
maxStoreNumCheckInputIntegerLengthError	error	wms	ja-JP	最大格納数は整数[0]桁以内を入力して下さい。	整数[0]桁以内									
maxStoreNumCheckNumericOnlyError	error	wms	ja-JP	最大格納数 数値のみ	数値のみ									
maxStoreNumInputRequestMinIsZeroError	error	wms	ja-JP	最大格納数は最小0以上を入力して下さい。	最小0以上									
maxStoreProductShapeCdCheckAlphabetAndNumericOnlyError	error	wms	ja-JP	最大格納数商品荷姿CD 英数字のみ	英数字のみ									
maxStoreProductShapeCdCheckInputMaxError	error	wms	ja-JP	最大格納数商品荷姿CDは最大[0]文字以下を入力して下さい。	最大[0]文字以下									
maxStoreProductShapeCdNotFoundError	error	wms	ja-JP	最大格納数商品荷姿CDは荷姿マスタに存在しません。	未存在									
maxStoreProductShapeCdNotInputError	error	wms	ja-JP	最大格納数商品荷姿CDを入力して下さい。	未入力									
mergeClsCannotSelectExceptionCaseError	error	wms	ja-JP	マージしないを選択。	マージしないを選択									
mergeClsNotFoundError	error	wms	ja-JP	入庫No.マージ区分が存在しません。	未存在									
mergeClsNotInputError	error	wms	ja-JP	入庫No.マージ区分を入力して下さい。	未入力									
minIsOneError	error	wms	ja-JP	最小1以上	最小1以上									
minNumberLengthOverError	error	wms	ja-JP	最小値の桁数が桁数欄に入力した値の範囲になるよう入力して下さい。	整数[0]桁以内									
moveInstStatusCannotExecuteExceptWorkingNonworkError	error	wms	ja-JP	未作業または作業中以外に対して、処理はできません。	処理不可									
moveQtyCannotInputMoreThanstockCanBeAllocateError	error	wms	ja-JP	移動数が引当可能数を超えています。	引当可能数超え入力不可									
moveQtyNotInputError	error	wms	ja-JP	移動数を入力して下さい。	未入力									
necessaryItemNotInputError	error	wms	ja-JP	必須項目を入力して下さい。	未入力									
netWeightBulkCheckInputIntegerLengthError	error	wms	ja-JP	【在庫最小単位】商品重量(g) は整数10桁以内を入力して下さい。	整数10桁以内									
netWeightCheckInputDecimalLengthError	error	wms	ja-JP	【在庫最小単位】商品重量(g) は小数3桁以内を入力して下さい。	小数3桁以内									
netWeightCheckInputIntegerLengthError	error	wms	ja-JP	【在庫最小単位】商品重量(g) は整数[0]桁以内を入力して下さい。	整数[0]桁以内									
netWeightCheckInputMinError	error	wms	ja-JP	【在庫最小単位】商品重量(g) は最小0以上を入力して下さい。	最小0以上									
netWeightCheckNumericOnlyError	error	wms	ja-JP	【在庫最小単位】商品重量(g) 数値のみ	数値のみ									
netWeightInputDecimalLengthError	error	wms	ja-JP	商品重量(g) は小数3桁以内を入力して下さい。	小数3桁以内									
netWeightInputIntegerLengthError	error	wms	ja-JP	商品重量(g)は整数[0]桁以内を入力して下さい。	整数[0]桁以内									
netWeightInputRequestMinIsZeroError	error	wms	ja-JP	商品重量(g)は最小0以上を入力して下さい。	最小0以上									
newDeleteDataCannotRegisterError	error	wms	ja-JP	新規の削除データは登録されません。	新規の削除データ									
noPrintedDataSelected	error	wms	ja-JP	未発行データが含めるため、発行取消できません。										
noPrintedSelected	error	wms	ja-JP	Bill of Lading Noが空白のため、貨物追跡番号登録できません。	未指定									
nodeLineCannotSelectError	error	wms	ja-JP	ノード行です。	選択不可									
notAttendanceError	error	wms	ja-JP	出勤されていません。	未出勤									
notAttendanceLeaveWorkRestSelectedError	error	wms	ja-JP	【出勤】【退勤】【休憩開始】【休憩終了】のいずれかを選択して下さい。	未選択									
notCompleteShippingInspectionClientCenterInformation	confirm	wms	ja-JP	センタ：[0]、荷主：[1]										
notFoundChangedDataError	error	wms	ja-JP	変更されたデータがありません。	未存在									
notFoundInMasterError	error	wms	ja-JP	マスタに存在しません。	未存在									
notFoundInProductLocationMasterError	error	wms	ja-JP	商品ロケーションマスタに存在しません。	未存在									
notFoundInReplenishmentMasterError	error	wms	ja-JP	補充棚マスタに存在しません。	未存在									
notFoundInUserCodeError	error	wms	ja-JP	担当者マスタに存在しません。	未存在									
notInspectedFoundError	error	wms	ja-JP	未検品のデータが含まれています。	存在									
notMergeFlagNotFoundError	error	wms	ja-JP	名寄せ不可フラグが存在しません。	未存在									
notSelectDataNotCompletedError	error	wms	ja-JP	未完了のデータを選択して下さい。	未選択									
notSelectInstallmentOrClosedReceiveError	error	wms	ja-JP	分納／打切り指示がされていません。	未選択									
notSelectNotCompletingReceiveError	error	wms	ja-JP	未入荷の行を選択して下さい。	未選択									
notShippingDataCannotTransitionError	error	wms	ja-JP	未出荷の場合はピッキングリスト発行画面へ遷移できません。	遷移不可									
numberingCenterCannotDeleteUseDeliveryCourseError	error	wms	ja-JP	運送便マスタの追跡番号採番キーに登録されているセンタ採番は削除できません。	使用中データ削除不可									
numericValueInputError	error	wms	ja-JP	入力した数値が不正です。	入力内容不正									
numericValueInputRequestMoreThanOneError	error	wms	ja-JP	1以上の数値を入力して下さい。	1以上の数値入力									
onetimeFlgNotFoundError	error	wms	ja-JP	ワンタイムフラグが存在しません。	未存在									
onetimeFlgNotInputError	error	wms	ja-JP	ワンタイムフラグを入力して下さい。	未入力									
onsLabelNumberCannotInputSameConditionError	error	wms	ja-JP	同じ入荷ラベルNo.で、異なるロケーション、期限日、ロットが入力できません。	入力条件									
onsLabelNumberCannotInputUnitNumChangedError	error	wms	ja-JP	入力された入荷ラベルNo.は商品入数が異なるため使用できません。（入荷ラベルNo.：[0] , 商品CD：[1]）	商品入数不一致									
onsLabelNumberCannotInputUsedOtherStockError	error	wms	ja-JP	入力された入荷ラベルNo.([0])は異なる商品、在庫区分、預託、ロット、期限日、仕入先で登録されているため使用できません。[/]入荷ラベルNo.を入力しないで登録するか、新しい入庫ラベル…	別在庫で使用	入力された入荷ラベルNo.は異なる商品、在庫区分、預託、ロット、期限日、仕入先で登録されているため使用できません。								
onsLabelNumberCannotInputUsedOtherStockIsManageStoreDtError	error	wms	ja-JP	入力された入荷ラベルNo.([0])は異なる商品、在庫区分、預託、ロット、期限日、仕入先、入庫日で登録されているため使用できません。[/]入荷ラベルNo.を入力しないで登録するか、新しい入...	別在庫で使用	入力された入荷ラベルNo.は異なる商品、在庫区分、預託、ロット、期限日、仕入先、入庫日で登録されているため使用できません。								
onsLabelNumberDuplicateError	error	wms	ja-JP	入荷ラベルNo.が重複しています。	重複									
onsLabelNumberDuplicateOtherLocationError	error	wms	ja-JP	同じ入荷ラベルNo.の在庫が異なるロケーションに存在します。	別ロケーションの在庫で使用									
onsLabelNumberNotFoundError	error	wms	ja-JP	入荷ラベルNo.が存在しません。	未存在									
onsLabelNumberNotFoundInStockInformationError	error	wms	ja-JP	入荷ラベルNo.に対する在庫情報は見つかりませんでした。新規登録の場合は入荷ラベルNo.を消して下さい。	未存在									
onsLabelNumberNotInputError	error	wms	ja-JP	入荷ラベルNo.を入力して下さい。	未入力									
onsNumRenumberInformation	info	wms	ja-JP	入荷ラベルNo.を再採番しました。入庫ラベルを印刷して下さい。	再採番情報									
operationCautionsSystemEndedInformation	info	wms	ja-JP	システム稼動時間外です！操作には十分注意して下さい。	注意情報									
otherShipInstructeReleasing	error	wms	ja-JP	他で出庫指示解除中です。		他で出庫指示解除中です。								
otherShippingPacking	error	wms	ja-JP	他で出荷検品中です。	他で出荷検品中	他で出荷検品中です。								
otherShippingPicking	error	wms	ja-JP	他でピッキング中です。	他でピッキング中	他でピッキング中です。								
outputCntCheckInputDecimalError	error	wms	ja-JP	出力枚数に小数は入力できません。	小数不可									
outputCntCheckInputMaxError	error	wms	ja-JP	出力枚数は整数2桁以内を入力して下さい。	整数2桁以内									
outputCntCheckNumericOnlyError	error	wms	ja-JP	出力枚数 数値のみ	数値のみ									
outputCntInputRequestMinIsOneError	error	wms	ja-JP	出力枚数は最小1以上を入力して下さい。	最小1以上									
outputCntNotInputError	error	wms	ja-JP	出力枚数を入力して下さい。	未入力									
overSafetySizeToHTError	error	wms	ja-JP	処理件数が[0]件を超えています。内容を見直し再度処理を実行して下さい。										
overShapeGroupDtlError	error	wms	ja-JP	既に最大行数[0]の為、行を追加できません。	行追加不可									
ownedCenterAndWarehouseFoundError	error	wms	ja-JP	社内移動として既に登録されている社内入荷センタと社内入荷倉庫です。	存在									
ownedCenterFlagNotFoundError	error	wms	ja-JP	取引先区分(社内)が存在しません。	未存在									
ownedCenterNotFoundInPartnerMasterError	error	wms	ja-JP	社内入荷センタがセンタマスタに存在しません。	未存在									
ownedCenterNotInputError	error	wms	ja-JP	社内入荷センタを入力して下さい。	未入力									
ownedShipToInputError	error	wms	ja-JP	社内移動の出荷先です。取引先マスタの取引区分を社内、社内入荷センタ、社内入荷倉庫を登録して下さい。	入力内容不正									
ownedWarehouseNotFoundInWarehouseMasterError	error	wms	ja-JP	社内入荷倉庫が倉庫マスタに存在しません。	未存在									
ownedWarehouseNotInputError	error	wms	ja-JP	社内入荷倉庫を入力して下さい。	未入力									
packingCalculateCannotExecuteMaxNumberError	error	wms	ja-JP	総容積または総重量が大きすぎるため梱包データを登録できません。										
packingCalculateCannotExecuteNotFoundBoxGroupError	error	wms	ja-JP	梱包荷材が設定されていないため梱包できません。	梱包荷材未設定									
packingCalculateCannotExecuteNotFoundDecimalPackingClsError	error	wms	ja-JP	小数管理商品梱包単位が設定されていないため梱包できません。										
packingCalculateCannotExecuteNotFoundProcessClsError	error	wms	ja-JP	詰込区分が設定されていないため梱包できません。	詰込区分未設定									
packingCalculateCannotExecuteNotFoundProductPartPackingClsError	error	wms	ja-JP	商品毎別梱包が設定されていないため梱包できません。	商品毎別梱包未設定									
packingCalculateCannotExecuteNotFoundStandardBoxInfoError	error	wms	ja-JP	標準荷材の容積または重量が設定されていないため梱包できません。	標準荷材の容積、重量未設定									
packingQtyCannotChangeSameBoxTypeError	error	wms	ja-JP	箱種のみを変更する場合は投入数を変更できません。	投入数を変更不可									
packingQtyCannotInputMoreThanAlowedQtyError	error	wms	ja-JP	入替可能な投入数を超えています。	投入数超え入力不可									
packingQtyCheckInputDecimalError	error	wms	ja-JP	投入数に小数は入力できません。	小数不可									
packingUpdateClearCompletedInformation	info	wms	ja-JP	梱包明細の修正をクリアしました。	クリア完了									
packingUpdateClearConfirmation	confirm	wms	ja-JP	梱包明細を修正中です。クリアして宜しいですか？	クリア確認									
packingUpdateCompleteAddPackingInformation	info	wms	ja-JP	梱包明細修正が正常終了しました。追加した梱包の荷札を発行して下さい。	正常終了									
packingUpdateCompletePackingCountChangedAddPackingInformation	info	wms	ja-JP	梱包明細修正が正常終了しました。個口数に変更があります。送り状データの再出力および送り状、積込リストの再発行をして下さい。また、追加した梱包の荷札を発行して下さい。	正常終了									
packingUpdateCompletePackingCountChangedInformation	info	wms	ja-JP	梱包明細修正が正常終了しました。個口数に変更があります。送り状データの再出力および送り状、積込リストの再発行をして下さい。	正常終了									
packingUpdateCompletePackingCountChangedReprintTagInformation	info	wms	ja-JP	梱包明細修正が正常終了しました。個口数または届先情報に変更があります。送り状データの再出力および荷札、送り状、積込リストの再発行をして下さい。	正常終了									
packingUpdateCompleteReprintTagInformation	info	wms	ja-JP	梱包明細修正が正常終了しました。出荷梱包No.が変更されています。荷札の再発行をして下さい。	正常終了									
packingUpdateStartError	error	wms	ja-JP	検品済以外の出庫指示に対して、梱包明細を修正することはできません。	修正									
paramNotFoundError	error	wms	ja-JP	パラメータマスタに存在しません。	未存在									
parentChildShapeCdInputSameShapeCdError	error	wms	ja-JP	荷姿と親荷姿が同じです。	親荷姿と同一									
parentProductCannotInputAnotherStructureProductError	error	wms	ja-JP	親商品が別の親商品の構成品に使用済みです。	別の構成品に使用済									
parentProductCodeDuplicateError	error	wms	ja-JP	親商品CDが登録済みです。	既に登録済									
parentProductCodeNotFoundError	error	wms	ja-JP	親商品CDがセット品親マスタに存在しません。	セット品親マスタに未存在									
parentShapeCdPluralNotInputError	error	wms	ja-JP	親荷姿が設定されていません。	親荷姿未設定									
parentStockNotFoundError	error	wms	ja-JP	親商品の在庫が存在しません。	在庫未存在									
parentshapeCodeDuplicateError	error	wms	ja-JP	荷姿CDが重複しています。 	重複									
pickingAllCompletedError	error	wms	ja-JP	すべてピッキング済です。	対象のケースピッキングNo.はすべてピッキング済									
pickingCancelStatusError	error	wms	ja-JP	ピッキング中以外の出荷データはピッキング解除できません。	ピッキング中以外は解除不可									
pickingInstCancelExistedWorkingStateConfirmation	confirm	wms	ja-JP	ピッキング中／済または検品中／済のデータが含まれていますが、解除しますか？										
pickingInstCancelStartError	error	wms	ja-JP	出庫指示済またはピッキング中／済または検品中／済以外の出荷指示に対して、出庫指示を解除することはできません。	解除									
pickingInstStartError	error	wms	ja-JP	未出荷以外の出荷指示に対して、出庫指示はできません。	起動									
pickingListCannotPrintExistsOtherListPrintError	error	wms	ja-JP	選択したピッキングリストと異なる一次ピッキングリストを発行したデータが存在します。	他リスト発行済									
pickingListPrintMultipleWarehouseConfirmation	confirm	wms	ja-JP	荷揃番号単位にピッキングリストが発行されますが宜しいですか？										
pickingLocationFlgNotFoundError	error	wms	ja-JP	ピックロケフラグが存在しません。	未存在									
pickingLocationFlgNotInputError	error	wms	ja-JP	ピックロケフラグを入力して下さい。	未入力									
pickingMethodRecommendationCallConfirm	confirm	wms	ja-JP	ピッキング提案を実施しますか？	確認									
pickingMethodRecommendationCallWithDeleteConfirm	confirm	wms	ja-JP	ピッキング提案を実施しますか？現在の提案データは削除されます。	確認									
pickingMethodRecommendationParameterInformation	info	wms	ja-JP	センタCD：[0] , 荷主CD：[1] , 作業日：[2] , 納品先件数：[3] , ブレイクキー：[4]	パラメータ情報									
pickingMethodRecommendationProgramName	info	wms	ja-JP	ピッキング提案	ピッキング提案									
pickingNumCheckInputDecimalError	error	wms	ja-JP	出庫数に小数は入力できません。	小数不可									
pickingOrderCheckInputDecimalError	error	wms	ja-JP	ピッキング順序に小数は入力できません。	小数不可									
pickingOrderCheckInputIntegerError	error	wms	ja-JP	ピッキング順序は整数5桁以内を入力して下さい。	整数5桁以内									
pickingOrderCheckNumericOnlyError	error	wms	ja-JP	ピッキング順序 数値のみ	数値のみ									
pickingOrderInputRequestMinIsZeroError	error	wms	ja-JP	ピッキング順序は最小0以上を入力して下さい。	最小0以上									
pickingOrderNotInputError	error	wms	ja-JP	ピッキング順序を入力して下さい。	未入力									
pickingPickingLocationFlgNotInputError	error	wms	ja-JP	補充商品CDの入力ある場合はピックロケを入力して下さい。	未入力									
pickingStartStatusError	error	wms	ja-JP	出庫指示済またはピッキング中以外の出荷データはピッキングできません。	ピッキング中以外は解除不可									
pickingWorkMessageCheckInputMaxError	error	wms	ja-JP	出庫作業メッセージは最大100文字以下を入力して下さい。	最大100文字以下									
pickingWorkMessageInformation	info	wms	ja-JP	[0] (荷揃番号：[1])	出庫作業メッセージ有									
pickingWorkMessageUpdateMultipleOverwriteConfirm	confirm	wms	ja-JP	複数の出荷伝票に出庫作業メッセージが登録されています。全ての出庫作業メッセージが上書きされますが宜しいですか？	複数伝票登録有									
pickingWorkNoCheckAlphabetAndNumericAndHyphenOnlyError	error	wms	ja-JP	荷揃番号/出荷梱包No.英数字と-のみ	英数字と-のみ									
pickingWorkNoCheckInputMaxError	error	wms	ja-JP	荷揃番号/出荷梱包No.は最大13文字以下を入力して下さい。	最大13文字以下									
pickingWorkNoNotFoundError	info	wms	ja-JP	荷揃番号/出荷梱包No.が存在しません。	未存在	荷揃番号／梱包Noが存在しません。								
pickingWorkNoNotSelectError	info	wms	ja-JP	荷揃番号/出荷梱包No.が空白以外の行を選択して下さい。	未選択									
pieceShapeNotFoundError	error	wms	ja-JP	ピース荷姿が設定されていません。	ピース荷姿未設定									
pieceShippingInspectCacelStartError	error	wms	ja-JP	出荷検品中または出荷検品中断または出荷検品済以外の出荷指示に対して、出荷検品解除できません。	起動									
pieceShippingInspectCancelConfirmation	confirm	wms	ja-JP	荷揃番号単位で出荷検品を解除しますが宜しいですか？	登録確認									
pieceShippingInspectCancelExistedInspectStateConfirmation	confirm	wms	ja-JP	出荷検品中ですが、解除してよろしいですか？										
planClientOrderNoCheckAlphabetAndNumericAndHyphenOnlyError	error	wms	ja-JP	予定顧客発注No. 英数字と-のみ	英数字と-のみ									
planClientOrderNoCheckInputMaxError	error	wms	ja-JP	予定顧客発注No.は最大30文字以下を入力して下さい。	最大30文字以下									
planClientReceiveCheckAlphabetAndNumericAndHyphenOnlyError	error	wms	ja-JP	予定顧客入荷指示No. 英数字と-のみ	英数字と-のみ									
planClientReceiveCheckInputMaxError	error	wms	ja-JP	予定顧客入荷指示No.は最大20文字以下を入力して下さい。	最大20文字以下									
planClientReceiveNoCannotRegisterAlreadyUsedError	error	wms	ja-JP	同一の予定顧客入荷指示No.の伝票が既に登録済です。	重複									
planClientReceiveNoDuplicateError	error	wms	ja-JP	同一の予定顧客入荷指示No.の伝票が他の行で入力されています。	重複									
planClientReceiveNotInputError	error	wms	ja-JP	予定顧客入荷指示No.を入力して下さい。	未入力									
planDepositCdCheckInputMaxError	error	wms	ja-JP	預託は最大30文字以下を入力して下さい。	最大30文字以下									
planDepositCdNotInputError	error	wms	ja-JP	預託CDを入力して下さい。	未入力									
planLimitDtDateError	error	wms	ja-JP	予定期限日が日付不正(形式:yyyy/MM/dd)	日付不正(形式:yyyy/MM/dd)									
planLocationCdCheckAlphabetAndNumericOnlyError	error	wms	ja-JP	予定ロケーションCD 英数字のみ	英数字のみ									
planLocationCdCheckInputMaxError	error	wms	ja-JP	予定ロケーションCDは最大30文字以下を入力して下さい。	最大30文字以下									
planLotCheckHalfWidthOnlyError	error	wms	ja-JP	予定ロット 半角文字のみ	半角文字のみ									
planLotCheckInputMaxError	error	wms	ja-JP	予定ロットは最大10文字以下を入力して下さい。	最大10文字以下									
planNumBulkCheckInputIntegerLengthError	error	wms	ja-JP	予定数は整数7桁以内を入力して下さい。	整数7桁以内									
planNumCheckInputDecimalError	error	wms	ja-JP	予定数に小数は入力できません。	小数不可									
planNumCheckInputDecimalMaxError	error	wms	ja-JP	予定数は小数3桁以内を入力して下さい。	小数3桁以内									
planNumCheckInputDecimalMinError	error	wms	ja-JP	予定数は0.001以上を入力して下さい。	0.001以上									
planNumCheckInputMinError	error	wms	ja-JP	予定数は1以上を入力して下さい。	1以上									
planNumCheckNumericOnlyError	error	wms	ja-JP	予定数 数値のみ	数値のみ									
planNumNotInputError	error	wms	ja-JP	予定数を入力して下さい。	未入力									
planStoreLabelNoDuplicateError	error	wms	ja-JP	予定入荷ラベルNo.が重複しています。	重複									
planSupplierCdCheckAlphabetAndNumericAndHyphenOnlyError	error	wms	ja-JP	仕入先CD 英数字と-のみ	英数字と-のみ									
planSupplierCdCheckInputMaxError	error	wms	ja-JP	仕入先CDは最大10文字以下を入力して下さい。	最大10文字以下									
planSupplierCdNotInputError	error	wms	ja-JP	仕入先CDを入力して下さい。	未入力									
planWarehouseCdNotFoundError	error	wms	ja-JP	予定倉庫CDは倉庫マスタに存在しません。	未存在									
pmrApiRequestUrlNotFoundError	error	wms	ja-JP	ピッキング提案のリクエストURLが未設定です。	URL未設定									
pmrApiSystemCannotConnectError	error	wms	ja-JP	ピッキング提案システムに接続できません。	接続エラー									
pmrApiSystemResponseError	error	wms	ja-JP	ピッキング提案に失敗しました。[0](問合せ番号：[1])[/][2]	エラー									
pmrNotUseError	error	wms	ja-JP	ピッキング提案は未使用に設定されています。	ピッキング提案未使用									
pmrPickingListCannotPrintAlreadyPrintedCaseError	error	wms	ja-JP	ケースピッキングリスト発行済のデータが含まれています。再提案を実行して下さい。	ケースピッキング済									
pmrPickingListCannotPrintAlreadyPrintedError	error	wms	ja-JP	1次ピッキングリスト発行済のデータが含まれています。再提案を実行して下さい。	1次ピッキング済									
pmrPickingListCannotPrintIllegalShipStatusError	error	wms	ja-JP	出庫指示済以外のデータが含まれています。再提案を実行して下さい。	出庫指示済以外									
postCodeNotFoundPostCodeMasterError	error	wms	ja-JP	郵便番号が郵便番号マスタに存在しません。	未存在									
presentNumberExceedsMaxNumberError	error	wms	ja-JP	現在値には最大値よりも小さい値を入力して下さい。	最大[0]以下									
presentNumberLengthOverError	error	wms	ja-JP	現在値の桁数が桁数欄に入力した値の範囲になるよう入力して下さい。	整数[0]桁以内									
presentNumberLessThanSubtractMinNumber2Error	error	wms	ja-JP	現在値には最小値-1よりも大きい値を入力して下さい。	最小[0]以上									
priceBulkCheckInputIntegerLengthError	error	wms	ja-JP	金額は整数7桁以内を入力して下さい。	整数7桁以内									
priceCheckInputDecimalError	error	wms	ja-JP	金額は小数3桁以内を入力して下さい。 										
priceCheckInputDecimalMaxError	error	wms	ja-JP	金額は9999999.999以下を入力して下さい。										
priceCheckInputDecimalMinError	error	wms	ja-JP	金額は0.001以上を入力して下さい。										
priceCheckInputMaxError	error	wms	ja-JP	金額は9999999以下を入力して下さい。										
priceCheckInputMinError	error	wms	ja-JP	金額は0以上を入力して下さい。										
priceCheckNumericOnlyError	error	wms	ja-JP	金額 数値のみ	数値のみ									
processCompleteErrorIncludedInformation	info	wms	ja-JP	処理は正常終了しましたが、エラーデータが含まれています。	完了情報									
processCompleteFailedPrintWarn	warn	wms	ja-JP	処理は正常終了しましたが、帳票の発行に失敗しました。(エラー内容：[0])	帳票発行失敗									
processExecuteConfirmation	confirm	wms	ja-JP	処理を行いますか？	実行確認									
processTypeCdCheckInputMaxError	error	wms	ja-JP	処理区分は最大30文字以下を入力して下さい。	最大30文字以下									
processTypeCdNotFoundError	error	wms	ja-JP	処理区分が存在しません。	未存在									
processTypeCdNotInputError	error	wms	ja-JP	処理区分CDを入力して下さい。	未入力									
processTypeCheckStockAdjustmentPlusError	error	wms	ja-JP	処理区分が24:調整(+)を指定して下さい。	処理区分が調整(+)のみ									
processTypeCodeDuplicateError	error	wms	ja-JP	処理区分CDが重複しています。	重複									
processTypeNotFoundError	error	wms	ja-JP	処理区分マスタに存在しません。	未存在									
processTypeNotInputError	error	wms	ja-JP	処理区分を入力して下さい。	未入力									
processTypeUnmatchInClientReceiveNoOnBulkError	error	wms	ja-JP	同一の顧客入荷指示No、仕入先内で処理区分が不一致です。	顧客入荷指示No.内不一致									
productAbbrCheckInputMaxError	error	wms	ja-JP	商品略称は最大35文字以下を入力して下さい。	最大35文字以下									
productAbbrNotInputError	error	wms	ja-JP	商品略称を入力して下さい。	未入力									
productAndShapeCodeDuplicateError	error	wms	ja-JP	商品CD、荷姿CDが重複しています。	商品CD、荷姿CD重複									
productCannotSelectShippingStopError	error	wms	ja-JP	出荷停止中の商品です。	出荷停止中									
productCdAndSerialNoDuplicateError	error	wms	ja-JP	商品CDとシリアルNo.が重複しています。	重複									
productCdCheckAlphabetAndNumericAndSymbolOnlyError	error	wms	ja-JP	商品CD  英数字と記号のみ	英数字と記号のみ									
productCdCheckInputMaxError	error	wms	ja-JP	商品CDは最大30文字以下を入力して下さい。	最大30文字以下									
productCdNotFoundError	error	wms	ja-JP	商品CDは商品マスタに存在しません。	未存在	商品マスタに存在しません。								
productCdNotFoundReceiveDataError	error	wms	ja-JP	商品CDは入荷データに存在しません。	未存在	入力したソースCDが伝票内に存在しません。								
productCdNotFoundReceiveDataErrorDispCd	error	wms	ja-JP	商品CD([0])は入荷データに存在しません。		入力したソースCDが伝票内に存在しません。								
productCdNotFoundShippingDataError	error	wms	ja-JP	商品CDは出荷データに存在しません。	未存在	入力したソースCDが荷揃番号/梱包No内に存在しません。								
productCdNotFoundShippingDataErrorDispCd	error	wms	ja-JP	商品CD([0])は出荷データに存在しません。	未存在	入力したソースCDが荷揃番号/梱包No内に存在しません。								
productCdNotInputError	error	wms	ja-JP	商品CDを入力して下さい。	未入力									
productCodeDuplicateError	error	wms	ja-JP	商品CDが重複しています。	重複									
productCodeDuplicateReplenishmentLocationError	error	wms	ja-JP	複数のロケーションに割り付いているため登録出来ません。	重複									
productCodeFoundDeletedError	error	wms	ja-JP	商品マスタに存在しない商品が含まれています。	未存在									
productCodeFoundDeletedWithCdError	error	wms	ja-JP	商品マスタに存在しない商品が含まれています。（商品CD：[0]）	未存在									
productCodeNotFoundError	error	wms	ja-JP	商品CDが商品マスタに存在しません。	未存在									
productInputProgramNameInputWorkInformation	info	wms	ja-JP	商品マスタ取込（ワーク取込）	プログラム名称情報									
productInputProgramNameRegisterInformation	info	wms	ja-JP	商品マスタ取込（データ移行）	プログラム名称情報									
productLabelAutoPrintFailedWarn	warn	wms	ja-JP	商品ラベルの発行に失敗しました。ピッキングは終了しています。	ラベル発行失敗									
productLabelCannotOutputNotReceiveCompletedError	error	wms	ja-JP	入荷済以外の入荷予定は商品ラベル発行できません。	出力不可									
productLabelPrintError	error	wms	ja-JP	商品ラベルの発行に失敗しました。	ラベル発行失敗									
productMasterBulkInputProgramNameInformation	info	wms	ja-JP	商品マスタ一括登録	プログラム名称情報									
productNmCheckInputMaxError	error	wms	ja-JP	商品名称は最大50文字以下を入力して下さい。	最大50文字以下									
